qid,question,material_class,source_split,gold_answer,baseline_answer,rag_answer,retrieved_chunk_ids
Q85,What is a key advantage of gelatin biogels over synthetic gels?,polymer,unseen,C,C,C,D11_C008;D11_C018;D11_C005;D11_C009
Q86,What role do functional groups play in biogels?,polymer,unseen,C,C,C,D4_C023;D3_C008;D11_C006;D11_C018
Q87,Why are hydrophobic interactions used in biogel design?,polymer,unseen,E,E,E,D3_C008;D3_C006;D3_C029;D4_C022
Q88,Which application is NOT supported by biogels context?,polymer,unseen,F,E,E,D11_C013;D11_C014;D11_C012;D11_C020
Q89,What is the role of ion doping in HA?,ceramic,unseen,A,A,A,D10_C017;D10_C074;D7_C052;D10_C019
Q90,Which synthesis method allows better control of HA morphology?,ceramic,unseen,A,A,A,D10_C015;D10_C016;D10_C017;D10_C014
Q91,Why are composites preferred in biomaterials design?,composite,unseen,E,E,E,D9_C003;D8_C015;D9_C004;D8_C016
Q92,What trade-off exists in scaffold design?,general,unseen,E,E,E,D10_C037;D10_C034;D10_C035;D8_C033
Q93,Why is degradation rate important in scaffolds?,general,unseen,E,E,E,D8_C005;D8_C004;D10_C034;D10_C130
Q94,Which factor affects cell differentiation in scaffolds?,general,unseen,C,C,C,D8_C005;D8_C004;D10_C137;D10_C130
Q95,Why is multi-material design beneficial?,composite,unseen,D,D,D,D9_C003;D9_C002;D10_C004;D9_C021
Q96,Which statement cannot be answered from context?,general,unseen,F,E,E,D2_C904;D2_C900;D2_C903;D2_C326
Q97,What improves osteoblast activity on implants?,general,unseen,D,D,D,D5_C044;D5_C019;D5_C079;D5_C083
Q98,Why is composite degradation controllable?,composite,unseen,D,D,D,D9_C006;D2_C113;D1_C058;D2_C139
Q99,Which factor enhances scaffold performance overall?,general,unseen,C,C,C,D10_C037;D8_C004;D8_C033;D10_C034
Q100,Which application cannot be inferred from all provided documents?,general,unseen,F,D,D,D2_C005;D2_C632;D10_C011;D2_C325
