qid,question,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,material_class,source_split,source_doc,difficulty
Q55,Which technique improves zirconia osseointegration?,Surface modification,Increasing density,Heat treatment only,Magnetic coating,Color adjustment,Unknown,A,ceramic,unseen,ImplantsSpringer2025U,medium
Q56,Why are surface treatments applied to zirconia implants?,To reduce strength,To increase brittleness,To improve bioactivity and bonding,To add magnetism,To weaken structure,Unknown,C,ceramic,unseen,ImplantsSpringer2025U,medium
Q57,Which property reduces bacterial adhesion on zirconia?,High density,Magnetic field,Temperature,Smooth chemical stability,Color,Unknown,D,ceramic,unseen,ImplantsSpringer2025U,hard
Q58,Why is zirconia radiopacity important?,Reduces strength,Adds magnetism,Improves flexibility,Allows imaging compatibility,Increases corrosion,Unknown,D,ceramic,unseen,ImplantsSpringer2025U,medium
Q59,Which factor limits zirconia compared to titanium?,Higher toughness,Lower strength always,Higher flexibility,Lower osseointegration in some cases,Better integration,Unknown,D,ceramic,unseen,ImplantsSpringer2025U,hard
Q60,Which application cannot be confirmed from the provided documents?,Bone scaffolds,Dental implants,Wound healing materials,Biodegradable packaging,Space satellite materials,Unknown,F,general,unseen,ImplantsSpringer2025U,hard
Q61,Why is PCL considered suitable for long-term scaffolds?,Slow degradation and toughness,Fast degradation,High conductivity,Magnetic stability,Instant resorption,Unknown,A,polymer,unseen,HAPCLComposites2026U,medium
Q62,What is a drawback of PCL in tissue regeneration?,Too conductive,Too magnetic,Too brittle,Too slow degradation,Too fast degradation,Unknown,D,polymer,unseen,HAPCLComposites2026U,medium
Q63,Why are HA/PCL composites better than pure HA?,Eliminate porosity,Increase toxicity,Improve mechanical strength and flexibility,Reduce cell growth,Reduce bioactivity,Unknown,C,composite,unseen,HAPCLComposites2026U,easy
Q64,Which factor can be tuned in HA/PCL composites?,Porosity and crystallinity,Temperature only,Color only,Density only,Magnetic field,Unknown,A,composite,unseen,HAPCLComposites2026U,medium
Q65,What biological effect is enhanced in HA/PCL composites?,Magnetic response,Optical activity,Heat transfer,Cell death,Cell proliferation and differentiation,Unknown,E,composite,unseen,HAPCLComposites2026U,medium
Q66,Why is HA brittle in biomedical applications?,Low density,Weak bonding,High conductivity,Ceramic structure limitations,Magnetic instability,Unknown,D,ceramic,unseen,HAPCLComposites2026U,easy
Q67,What is a key challenge in translating biomaterials to clinic?,Density control,Magnetic properties,Transparency,Cost and scalability,High performance,Unknown,D,general,unseen,HAPCLComposites2026U,hard
Q68,Which hydroxyapatite composite class can improve processability while helping materials withstand mechanical loads?,Organic polymer-based composites,Metal-free oxide coatings,Pure hydroxyapatite scaffolds,Only glass-based fillers,Inorganic-only ceramic composites,Unknown,A,composite,unseen,HydroxyapatiteBoneTissue2025U,medium
Q69,What is one biomedical use of HAp composites beyond bone defect repair?,Targeted and sustained drug release,Quantum storage,Long-distance wireless transmission,Combustion control,Optical data encryption,Unknown,A,composite,unseen,HydroxyapatiteBoneTissue2025U,medium
Q70,Which statement best explains why HAp composites are favored over pure HAp in scaffold design?,Pure HAp has excessive elasticity,Pure HAp is too biodegradable,HAp composites can better match natural bone composition and mechanics,HAp cannot support cell attachment,HAp composites eliminate all brittleness,Unknown,C,general,unseen,HydroxyapatiteBoneTissue2025U,hard
Q71,What is the theoretical calcium-to-phosphorus atomic ratio of hydroxyapatite?,1.25,1,2.16,1.5,1.67,Unknown,E,ceramic,unseen,HydroxyapatiteBoneTissue2025U,hard
Q72,Which scaffold component is explicitly described as providing biophysical instructive signals in bone tissue engineering?,Electrical insulation layers,Radiopaque salts only,Growth factors and physical stimuli,Color-changing polymers only,Magnetic nanoparticles only,Unknown,C,general,unseen,HydroxyapatiteBoneTissue2025U,medium
Q73,According to the zirconia review which crystalline phase of zirconia is stable at room temperature?,Cubic,Hexagonal,Tetragonal,Amorphous,Monoclinic,Unknown,E,ceramic,unseen,ImplantsSpringer2025U,hard
Q74,What is the main benefit of doping zirconia with oxides such as Y2O3 or MgO?,It makes zirconia transparent to X-rays,It makes zirconia biodegradable,It removes all brittleness,It stabilizes higher-strength phases at room temperature,It eliminates the need for surface treatment,Unknown,D,ceramic,unseen,ImplantsSpringer2025U,hard
Q75,Which zirconia category is described as having 2–3 mol% Y2O3 and being highly suitable for dental use?,SiC-HAp,ZTA,Mg-PSZ,Ce-PSZ,3Y-TZP,Unknown,E,ceramic,unseen,ImplantsSpringer2025U,hard
Q76,Why are one-piece zirconia implants clinically interesting despite fabrication challenges?,They reduce risks of bacterial colonization and peri-implantitis,They function without bone contact,They are fully biodegradable,They do not require osseointegration,They completely outperform titanium in survival rate,Unknown,A,ceramic,unseen,ImplantsSpringer2025U,medium
Q77,Which reported outcome showed non-submerged zirconia implants lower than submerged zirconia implants in the cited minipig study?,Crystal purity,Radiopacity,Fracture toughness,Bone-implant contact,Thermal conductivity,Unknown,D,ceramic,unseen,ImplantsSpringer2025U,hard
Q78,What was a reported effect of UV treatment on zirconia implant surfaces?,It increased surface carbon contamination,It made the surface hydrophobic,It prevented any osteoblast attachment,It improved bioactivity by reducing surface carbon,It converted zirconia into hydroxyapatite,Unknown,D,ceramic,unseen,ImplantsSpringer2025U,hard
Q79,Which combination was discussed as a zirconia-containing composite coating for orthopedic implants?,ZrO2 with collagen only,ZrO2 with alginate,ZrO2 with hydroxyapatite,ZrO2 with starch,ZrO2 with cellulose,Unknown,C,composite,unseen,ImplantsSpringer2025U,medium
Q80,Which specific parameter cannot be concluded from the provided zirconia and HAp composite reviews alone?,That zirconia can be surface modified,That zirconia has multiple crystalline phases,That HAp is chemically similar to bone mineral,That HAp composites can support drug delivery,The exact long-term 20-year survival rate for a specific implant brand,Unknown,E,general,unseen,ImplantsSpringer2025U,hard
Q81,Why are gelatin-based biogels attractive for sensors?,Biocompatibility and flexibility,High density,Magnetic properties,High rigidity,Thermal resistance,Unknown,A,polymer,unseen,BiogelsU,easy
Q82,What limits conventional gelatin biogels?,High conductivity,Low density,Low mechanical strength,Magnetic instability,High cost,Unknown,C,polymer,unseen,BiogelsU,medium
Q83,Which strategy improves biogel toughness?,Temperature only,Color change,Energy dissipation domains,Ignoring structure,Magnetic field,Unknown,C,polymer,unseen,BiogelsU,hard
Q84,Why are crosslinking interactions important in biogels?,Increase magnetism,Add conductivity,Add color,Reduce density,Improve mechanical strength,Unknown,E,polymer,unseen,BiogelsU,medium
Q85,What is a key advantage of gelatin biogels over synthetic gels?,High density,Higher conductivity,Biocompatibility and biodegradability,Thermal resistance,Magnetic properties,Unknown,C,polymer,unseen,BiogelsU,easy
Q86,What role do functional groups play in biogels?,Reduce strength,Increase density,Enable crosslinking interactions,Color change,Add magnetism,Unknown,C,polymer,unseen,BiogelsU,medium
Q87,Why are hydrophobic interactions used in biogel design?,Increase density,Reduce conductivity,Reduce strength,Add magnetism,Improve toughness,Unknown,E,polymer,unseen,BiogelsU,hard
Q88,Which application is NOT supported by biogels context?,Wearable sensors,Soft substrates,Drug delivery,Flexible electronics,Quantum processors,Unknown,F,polymer,unseen,BiogelsU,hard
Q89,What is the role of ion doping in HA?,Improve bioactivity and antibacterial properties,Add magnetism,Reduce density,Increase conductivity,Reduce strength,Unknown,A,ceramic,unseen,HAPCLComposites2026U,hard
Q90,Which synthesis method allows better control of HA morphology?,Wet methods,Magnetic synthesis,Dry methods,Electrical synthesis,Thermal shock,Unknown,A,ceramic,unseen,HAPCLComposites2026U,hard
Q91,Why are composites preferred in biomaterials design?,Magnetic performance,Low durability,Single property focus,High toxicity,Multi-property optimization,Unknown,E,composite,unseen,HAPCLComposites2026U,easy
Q92,What trade-off exists in scaffold design?,Transparency vs hardness,Color vs density,Magnetism vs temperature,Strength vs conductivity,Porosity vs mechanical strength,Unknown,E,general,unseen,HydroxyapatiteBoneTissue2025U,hard
Q93,Why is degradation rate important in scaffolds?,Color control,Increase conductivity,Reduce density,Add magnetism,Match tissue regeneration,Unknown,E,general,unseen,HydroxyapatiteBoneTissue2025U,medium
Q94,Which factor affects cell differentiation in scaffolds?,Magnetism,Temperature,Surface properties and signals,Color,Transparency,Unknown,C,general,unseen,HydroxyapatiteBoneTissue2025U,hard
Q95,Why is multi-material design beneficial?,Reduces strength,Increases toxicity,Reduces density,Combines complementary properties,Adds magnetism,Unknown,D,composite,unseen,HAPCLComposites2026U,easy
Q96,Which statement cannot be answered from context?,PCL is biodegradable,Zirconia is aesthetic,Biogels are flexible,HA is bioactive,Exact quantum structure of biomaterials,Unknown,F,general,unseen,HAPCLComposites2026U,hard
Q97,What improves osteoblast activity on implants?,Smooth surface,Color adjustment,Density change,Surface modification and bioactivity,Magnetic coating,Unknown,D,general,unseen,ImplantsSpringer2025U,hard
Q98,Why is composite degradation controllable?,Magnetic interaction,Random process,Color change,Material composition tuning,Temperature only,Unknown,D,composite,unseen,HAPCLComposites2026U,medium
Q99,Which factor enhances scaffold performance overall?,Color variation,Magnetic field,Optimized structure and composition,Density only,Single material,Unknown,C,general,unseen,HydroxyapatiteBoneTissue2025U,medium
Q100,Which application cannot be inferred from all provided documents?,Bone repair,Wearable sensors,Drug delivery,Interstellar propulsion biomaterials,Dental implants,Unknown,F,general,unseen,BiogelsU,hard
