qid,question,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,material_class,source_split,source_doc,difficulty
Q40,Which combination best improves implant performance?,Single material only,Composite with tailored properties,Only polymers,Only metals,Only ceramics,Unknown,B,composite,seen,BioComposite2021S,medium
Q41,Why are biodegradable polymers considered an alternative to fossil-based plastics?,They are metallic,They degrade naturally reducing pollution,They increase waste,They are non-renewable,They are magnetic,Unknown,B,polymer,unseen,BiodegradablePolymers2025U,medium
Q42,What is a major environmental issue caused by conventional plastics?,Improved recycling efficiency,Microplastic accumulation,Increased biodegradability,Lower emissions,Reduced waste,Unknown,B,polymer,unseen,BiodegradablePolymers2025U,easy
Q43,Why is the adoption of biodegradable polymers limited?,High availability,Low cost,High production cost,Excess strength,Magnetic instability,Unknown,C,polymer,unseen,BiodegradablePolymers2025U,medium
Q44,Which factor complicates recycling in a circular plastic economy?,Simple material design,Composite materials,Low plastic usage,High biodegradability,Magnetic properties,Unknown,B,polymer,unseen,BiodegradablePolymers2025U,hard
Q45,What is a key benefit of biodegradable plastics in waste management?,Permanent durability,Reduction of landfill pressure,Increased toxicity,Magnetic behavior,High conductivity,Unknown,B,polymer,unseen,BiodegradablePolymers2025U,medium
Q46,Why are biopolymers important for sustainability?,They increase pollution,They are renewable and degradable,They are metallic,They resist degradation,They are magnetic,Unknown,B,polymer,unseen,BiodegradablePolymers2025U,easy
Q47,What is a limitation of biodegradable polymers in applications?,High flexibility only,Low mechanical performance,High conductivity,Magnetic instability,Transparency,Unknown,B,polymer,unseen,BiodegradablePolymers2025U,medium
Q48,Which approach improves biodegradable polymer properties?,Ignoring fillers,Using composites and blends,Reducing processing,Increasing cost only,Removing structure,Unknown,B,polymer,unseen,BiodegradablePolymers2025U,medium
Q49,Why is PLA widely used in biomedical applications?,It is metallic,It is biocompatible and biodegradable,It is magnetic,It is highly conductive,It is non-degradable,Unknown,B,polymer,unseen,BiodegradablePolymers2025U,easy
Q50,What limits PLA in engineering applications?,High strength,Low toughness and brittleness,High conductivity,Magnetic instability,High density,Unknown,B,polymer,unseen,BiodegradablePolymers2025U,medium
Q51,Why is zirconia considered a strong alternative to titanium implants?,It is softer,It has high fracture toughness and biocompatibility,It is magnetic,It dissolves easily,It has low strength,Unknown,B,ceramic,unseen,ImplantsSpringer2025U,medium
Q52,What property gives zirconia excellent corrosion resistance?,Low density,Protective oxide layer,Magnetic shielding,High solubility,Thermal instability,Unknown,B,ceramic,unseen,ImplantsSpringer2025U,medium
Q53,Why is zirconia preferred in aesthetic dental implants?,It is transparent,It has tooth-like color,It is metallic,It is magnetic,It is highly conductive,Unknown,B,ceramic,unseen,ImplantsSpringer2025U,easy
Q54,What is a limitation of zirconia implants?,High flexibility,Brittleness,High conductivity,Magnetic instability,Low density,Unknown,B,ceramic,unseen,ImplantsSpringer2025U,medium
Q55,Which technique improves zirconia osseointegration?,Increasing density,Surface modification,Color adjustment,Magnetic coating,Heat treatment only,Unknown,B,ceramic,unseen,ImplantsSpringer2025U,medium
Q56,Why are surface treatments applied to zirconia implants?,To weaken structure,To improve bioactivity and bonding,To reduce strength,To increase brittleness,To add magnetism,Unknown,B,ceramic,unseen,ImplantsSpringer2025U,medium
Q57,Which property reduces bacterial adhesion on zirconia?,Magnetic field,Smooth chemical stability,High density,Color,Temperature,Unknown,B,ceramic,unseen,ImplantsSpringer2025U,hard
Q58,Why is zirconia radiopacity important?,Improves flexibility,Allows imaging compatibility,Reduces strength,Adds magnetism,Increases corrosion,Unknown,B,ceramic,unseen,ImplantsSpringer2025U,medium
Q59,Which factor limits zirconia compared to titanium?,Higher toughness,Lower osseointegration in some cases,Better integration,Higher flexibility,Lower strength always,Unknown,B,ceramic,unseen,ImplantsSpringer2025U,hard
Q60,Which application cannot be confirmed from the provided documents?,Dental implants,Bone scaffolds,Biodegradable packaging,Space satellite materials,Wound healing materials,Unknown,F,general,unseen,ImplantsSpringer2025U,hard
Q61,Why is PCL considered suitable for long-term scaffolds?,Fast degradation,Slow degradation and toughness,High conductivity,Magnetic stability,Instant resorption,Unknown,B,polymer,unseen,HAPCLComposites2026U,medium
Q62,What is a drawback of PCL in tissue regeneration?,Too fast degradation,Too brittle,Too slow degradation,Too conductive,Too magnetic,Unknown,C,polymer,unseen,HAPCLComposites2026U,medium
Q63,Why are HA/PCL composites better than pure HA?,Reduce bioactivity,Improve mechanical strength and flexibility,Increase toxicity,Eliminate porosity,Reduce cell growth,Unknown,B,composite,unseen,HAPCLComposites2026U,easy
Q64,Which factor can be tuned in HA/PCL composites?,Magnetic field,Porosity and crystallinity,Color only,Temperature only,Density only,Unknown,B,composite,unseen,HAPCLComposites2026U,medium
Q65,What biological effect is enhanced in HA/PCL composites?,Cell death,Cell proliferation and differentiation,Magnetic response,Heat transfer,Optical activity,Unknown,B,composite,unseen,HAPCLComposites2026U,medium
Q66,Why is HA brittle in biomedical applications?,Weak bonding,Ceramic structure limitations,Magnetic instability,Low density,High conductivity,Unknown,B,ceramic,unseen,HAPCLComposites2026U,easy
Q67,What is a key challenge in translating biomaterials to clinic?,High performance,Cost and scalability,Magnetic properties,Transparency,Density control,Unknown,B,general,unseen,HAPCLComposites2026U,hard
Q68,Which hydroxyapatite composite class can improve processability while helping materials withstand mechanical loads?,Inorganic-only ceramic composites,Organic polymer-based composites,Metal-free oxide coatings,Pure hydroxyapatite scaffolds,Only glass-based fillers,Unknown,B,composite,unseen,HydroxyapatiteBoneTissue2025U,medium
Q69,What is one biomedical use of HAp composites beyond bone defect repair?,Long-distance wireless transmission,Targeted and sustained drug release,Combustion control,Optical data encryption,Quantum storage,Unknown,B,composite,unseen,HydroxyapatiteBoneTissue2025U,medium
Q70,Which statement best explains why HAp composites are favored over pure HAp in scaffold design?,Pure HAp has excessive elasticity,HAp composites can better match natural bone composition and mechanics,Pure HAp is too biodegradable,HAp composites eliminate all brittleness,HAp cannot support cell attachment,Unknown,B,general,unseen,HydroxyapatiteBoneTissue2025U,hard
Q71,What is the theoretical calcium-to-phosphorus atomic ratio of hydroxyapatite?,1,1.25,1.5,1.67,2.16,Unknown,D,ceramic,unseen,HydroxyapatiteBoneTissue2025U,hard
Q72,Which scaffold component is explicitly described as providing biophysical instructive signals in bone tissue engineering?,Magnetic nanoparticles only,Growth factors and physical stimuli,Color-changing polymers only,Electrical insulation layers,Radiopaque salts only,Unknown,B,general,unseen,HydroxyapatiteBoneTissue2025U,medium
Q73,According to the zirconia review which crystalline phase of zirconia is stable at room temperature?,Cubic,Hexagonal,Monoclinic,Tetragonal,Amorphous,Unknown,C,ceramic,unseen,ImplantsSpringer2025U,hard
Q74,What is the main benefit of doping zirconia with oxides such as Y2O3 or MgO?,It makes zirconia biodegradable,It stabilizes higher-strength phases at room temperature,It removes all brittleness,It makes zirconia transparent to X-rays,It eliminates the need for surface treatment,Unknown,B,ceramic,unseen,ImplantsSpringer2025U,hard
Q75,Which zirconia category is described as having 2–3 mol% Y2O3 and being highly suitable for dental use?,Mg-PSZ,3Y-TZP,ZTA,SiC-HAp,Ce-PSZ,Unknown,B,ceramic,unseen,ImplantsSpringer2025U,hard
Q76,Why are one-piece zirconia implants clinically interesting despite fabrication challenges?,They are fully biodegradable,They reduce risks of bacterial colonization and peri-implantitis,They completely outperform titanium in survival rate,They do not require osseointegration,They function without bone contact,Unknown,B,ceramic,unseen,ImplantsSpringer2025U,medium
Q77,Which reported outcome showed non-submerged zirconia implants lower than submerged zirconia implants in the cited minipig study?,Bone-implant contact,Fracture toughness,Thermal conductivity,Radiopacity,Crystal purity,Unknown,A,ceramic,unseen,ImplantsSpringer2025U,hard
Q78,What was a reported effect of UV treatment on zirconia implant surfaces?,It increased surface carbon contamination,It made the surface hydrophobic,It improved bioactivity by reducing surface carbon,It converted zirconia into hydroxyapatite,It prevented any osteoblast attachment,Unknown,C,ceramic,unseen,ImplantsSpringer2025U,hard
Q79,Which combination was discussed as a zirconia-containing composite coating for orthopedic implants?,ZrO2 with hydroxyapatite,ZrO2 with cellulose,ZrO2 with alginate,ZrO2 with collagen only,ZrO2 with starch,Unknown,A,composite,unseen,ImplantsSpringer2025U,medium
Q80,Which specific parameter cannot be concluded from the provided zirconia and HAp composite reviews alone?,That zirconia can be surface modified,That HAp composites can support drug delivery,That zirconia has multiple crystalline phases,The exact long-term 20-year survival rate for a specific implant brand,That HAp is chemically similar to bone mineral,Unknown,D,general,unseen,ImplantsSpringer2025U,hard
Q81,Why are gelatin-based biogels attractive for sensors?,High rigidity,Biocompatibility and flexibility,Magnetic properties,High density,Thermal resistance,Unknown,B,polymer,unseen,BiogelsU,easy
Q82,What limits conventional gelatin biogels?,High cost,Low mechanical strength,High conductivity,Magnetic instability,Low density,Unknown,B,polymer,unseen,BiogelsU,medium
Q83,Which strategy improves biogel toughness?,Ignoring structure,Energy dissipation domains,Color change,Magnetic field,Temperature only,Unknown,B,polymer,unseen,BiogelsU,hard
Q84,Why are crosslinking interactions important in biogels?,Add color,Improve mechanical strength,Increase magnetism,Reduce density,Add conductivity,Unknown,B,polymer,unseen,BiogelsU,medium
Q85,What is a key advantage of gelatin biogels over synthetic gels?,Higher conductivity,Biocompatibility and biodegradability,Magnetic properties,High density,Thermal resistance,Unknown,B,polymer,unseen,BiogelsU,easy
Q86,What role do functional groups play in biogels?,Color change,Enable crosslinking interactions,Add magnetism,Reduce strength,Increase density,Unknown,B,polymer,unseen,BiogelsU,medium
Q87,Why are hydrophobic interactions used in biogel design?,Reduce strength,Improve toughness,Add magnetism,Reduce conductivity,Increase density,Unknown,B,polymer,unseen,BiogelsU,hard
Q88,Which application is NOT supported by biogels context?,Wearable sensors,Flexible electronics,Drug delivery,Quantum processors,Soft substrates,Unknown,F,polymer,unseen,BiogelsU,hard
Q89,What is the role of ion doping in HA?,Reduce strength,Improve bioactivity and antibacterial properties,Add magnetism,Reduce density,Increase conductivity,Unknown,B,ceramic,unseen,HAPCLComposites2026U,hard
Q90,Which synthesis method allows better control of HA morphology?,Dry methods,Wet methods,Magnetic synthesis,Electrical synthesis,Thermal shock,Unknown,B,ceramic,unseen,HAPCLComposites2026U,hard
Q91,Why are composites preferred in biomaterials design?,Single property focus,Multi-property optimization,High toxicity,Low durability,Magnetic performance,Unknown,B,composite,unseen,HAPCLComposites2026U,easy
Q92,What trade-off exists in scaffold design?,Strength vs conductivity,Porosity vs mechanical strength,Color vs density,Magnetism vs temperature,Transparency vs hardness,Unknown,B,general,unseen,HydroxyapatiteBoneTissue2025U,hard
Q93,Why is degradation rate important in scaffolds?,Color control,Match tissue regeneration,Add magnetism,Increase conductivity,Reduce density,Unknown,B,general,unseen,HydroxyapatiteBoneTissue2025U,medium
Q94,Which factor affects cell differentiation in scaffolds?,Color,Surface properties and signals,Magnetism,Transparency,Temperature,Unknown,B,general,unseen,HydroxyapatiteBoneTissue2025U,hard
Q95,Why is multi-material design beneficial?,Reduces strength,Combines complementary properties,Adds magnetism,Reduces density,Increases toxicity,Unknown,B,composite,unseen,HAPCLComposites2026U,easy
Q96,Which statement cannot be answered from context?,HA is bioactive,PCL is biodegradable,Zirconia is aesthetic,Biogels are flexible,Exact quantum structure of biomaterials,Unknown,F,general,unseen,HAPCLComposites2026U,hard
Q97,What improves osteoblast activity on implants?,Smooth surface,Surface modification and bioactivity,Magnetic coating,Color adjustment,Density change,Unknown,B,general,unseen,ImplantsSpringer2025U,hard
Q98,Why is composite degradation controllable?,Random process,Material composition tuning,Magnetic interaction,Temperature only,Color change,Unknown,B,composite,unseen,HAPCLComposites2026U,medium
Q99,Which factor enhances scaffold performance overall?,Single material,Optimized structure and composition,Color variation,Magnetic field,Density only,Unknown,B,general,unseen,HydroxyapatiteBoneTissue2025U,medium
Q100,Which application cannot be inferred from all provided documents?,Bone repair,Drug delivery,Wearable sensors,Dental implants,Interstellar propulsion biomaterials,Unknown,F,general,unseen,BiogelsU,hard
